c1,c2
3.532160949707031250e+01,-6.233595371246337891e+00
3.429901123046875000e+01,-1.328466224670410156e+01
1.543687725067138672e+01,3.196870422363281250e+01
1.345135974884033203e+01,-1.659531021118164062e+01
3.432065582275390625e+01,-1.299728298187255859e+01
2.090076446533203125e+01,9.688430428504943848e-01
-2.561516761779785156e+01,3.007996749877929688e+01
3.129368591308593750e+01,-1.102648448944091797e+01
3.417264938354492188e+01,-8.093762397766113281e+00
-2.652715301513671875e+01,2.390624427795410156e+01
3.847112357616424561e-01,-2.749220657348632812e+01
1.940600395202636719e+01,2.168100357055664062e+00
3.605442047119140625e+01,-1.214535236358642578e+01
5.752778625488281250e+01,-1.026579761505126953e+01
3.757130050659179688e+01,-1.567336654663085938e+01
2.202241706848144531e+01,7.342635154724121094e+00
3.437720108032226562e+01,-7.397288322448730469e+00
-3.676186370849609375e+01,2.211276245117187500e+01
3.452916717529296875e+01,-1.183897876739501953e+01
3.018572425842285156e+01,-8.516091346740722656e+00
-3.656192779541015625e+01,2.181482696533203125e+01
3.224016571044921875e+01,-1.184013080596923828e+01
1.414114093780517578e+01,-3.906115722656250000e+01
1.981659889221191406e+01,3.717096805572509766e+00
-1.077043533325195312e+01,-3.869252920150756836e+00
5.154883193969726562e+01,-3.954245328903198242e+00
-2.670589637756347656e+01,-2.268064689636230469e+01
1.958240699768066406e+01,2.091921567916870117e+00
2.023578453063964844e+01,1.715320587158203125e+00
-3.895212173461914062e+01,2.333699035644531250e+01
1.936020851135253906e+01,2.371226787567138672e+00
3.521880722045898438e+01,-8.332291603088378906e+00
1.840040397644042969e+01,2.594237089157104492e+00
4.892934036254882812e+01,-1.061205577850341797e+01
3.032463836669921875e+01,-8.559070587158203125e+00
3.253785705566406250e+01,-7.798356533050537109e+00
3.251522064208984375e+01,-7.890037536621093750e+00
1.781920242309570312e+01,3.214923620223999023e+00
3.187471771240234375e+01,-4.688048362731933594e+00
2.098600769042968750e+01,1.098019361495971680e+00
3.365213012695312500e+01,-1.079693508148193359e+01
2.031710433959960938e+01,2.605402231216430664e+00
2.070735549926757812e+01,-4.463436126708984375e+01
3.781398010253906250e+01,-2.304283905029296875e+01
-3.377626419067382812e+01,3.380281066894531250e+01
3.539496994018554688e+01,-7.488873004913330078e+00
3.882711410522460938e+01,1.041055297851562500e+01
5.199370193481445312e+01,2.872587919235229492e+00
3.637158966064453125e+01,8.734777450561523438e+00
3.700280761718750000e+01,-1.430902671813964844e+01
3.497698974609375000e+01,-8.809616088867187500e+00
5.215086746215820312e+01,3.223593235015869141e+00
2.187826347351074219e+01,1.931787610054016113e+00
-2.078381329774856567e-01,-3.064466094970703125e+01
4.040705490112304688e+01,-2.142795562744140625e+01
