c1,c2
-3.741183471679687500e+01,-2.160839462280273438e+01
3.343577575683593750e+01,1.578689575195312500e+01
2.337711143493652344e+01,1.867129898071289062e+01
3.763679504394531250e+01,-3.075412750244140625e+01
3.327941131591796875e+01,2.196737480163574219e+01
5.559822845458984375e+01,9.504612684249877930e-01
3.216647338867187500e+01,1.317221546173095703e+01
3.521515655517578125e+01,1.373948669433593750e+01
1.143915557861328125e+01,1.307572078704833984e+01
9.503067970275878906e+00,2.180252647399902344e+01
5.562609100341796875e+01,8.256680965423583984e-01
-2.875906944274902344e+01,7.474379986524581909e-02
-2.786037635803222656e+01,-2.564527702331542969e+01
2.930954933166503906e+01,9.479564666748046875e+00
-1.880603981018066406e+01,-1.986142396926879883e+00
3.033566665649414062e+01,1.304635810852050781e+01
-3.624135208129882812e+01,-2.047566986083984375e+01
-3.746350097656250000e+01,-2.176545143127441406e+01
3.037874794006347656e+01,1.813886070251464844e+01
3.617276000976562500e+01,2.255955934524536133e+00
-2.767604446411132812e+01,-1.935284996032714844e+01
3.545527648925781250e+01,1.061014938354492188e+01
-3.118919563293457031e+01,-2.658171081542968750e+01
2.660702896118164062e+01,1.859584045410156250e+01
3.000255775451660156e+01,1.660234069824218750e+01
3.674982452392578125e+01,-2.064093971252441406e+01
-3.580019378662109375e+01,-2.175904464721679688e+01
-3.654939651489257812e+01,-1.976684951782226562e+01
3.083339881896972656e+01,1.366731643676757812e+01
3.765678024291992188e+01,2.684447669982910156e+01
2.326121139526367188e+01,1.586230754852294922e+01
2.868890953063964844e+01,1.772507286071777344e+01
2.928093719482421875e+01,6.986338138580322266e+00
3.359223175048828125e+01,1.141361427307128906e+01
2.967234039306640625e+01,1.519071674346923828e+01
1.080042934417724609e+01,5.670422554016113281e+00
4.057170104980468750e+01,1.925167083740234375e+01
2.679821968078613281e+01,1.861642646789550781e+01
2.795298767089843750e+01,-1.686071634292602539e+00
3.021678543090820312e+01,1.253177833557128906e+01
2.359981346130371094e+01,1.831773185729980469e+01
2.694224929809570312e+01,2.061206340789794922e+00
3.600096130371093750e+01,1.393696880340576172e+01
1.221580314636230469e+01,1.250384140014648438e+01
-4.188434982299804688e+01,-1.769190406799316406e+01
3.568267822265625000e+01,1.027120685577392578e+01
3.724411010742187500e+01,2.092579650878906250e+01
6.994012355804443359e+00,-2.745500755310058594e+01
5.558821105957031250e+01,1.083867311477661133e+00
-3.270200490951538086e+00,-3.819782638549804688e+01
3.873789596557617188e+01,1.055871963500976562e+01
3.066748046875000000e+01,1.748940277099609375e+01
4.024576568603515625e+01,5.136429786682128906e+00
3.630698394775390625e+01,1.279527473449707031e+01
-3.324927902221679688e+01,7.700692176818847656e+00
3.791390228271484375e+01,1.471316528320312500e+01
-2.596747970581054688e+01,-2.709751510620117188e+01
3.040797233581542969e+01,1.368730831146240234e+01
3.486640548706054688e+01,6.923593521118164062e+00
2.668492889404296875e+01,1.784080886840820312e+01
-3.657414245605468750e+01,-2.027640342712402344e+01
5.325367355346679688e+01,4.487149119377136230e-01
-3.341007232666015625e+01,-2.003134346008300781e+01
1.764675140380859375e+01,-2.409503364562988281e+01
3.789974975585937500e+01,-3.132695579528808594e+01
3.242536926269531250e+01,1.196035003662109375e+01
3.195454406738281250e+01,1.799893379211425781e+01
5.558686828613281250e+01,1.559005498886108398e+00
2.628666305541992188e+01,1.874139404296875000e+01
3.010659217834472656e+01,1.134707260131835938e+01
3.129272079467773438e+01,1.367014408111572266e+01
3.567822265625000000e+01,1.057900810241699219e+01
2.488421058654785156e+01,1.770563316345214844e+01
2.887952804565429688e+01,-9.330333709716796875e+00
3.771557617187500000e+01,-1.263163089752197266e+01
3.140136146545410156e+01,1.884893417358398438e+01
3.689764785766601562e+01,-3.577331542968750000e+00
-3.796481704711914062e+01,-2.206167984008789062e+01
3.693198013305664062e+01,1.131473064422607422e+01
-3.128779411315917969e+01,-2.655708312988281250e+01
3.108323478698730469e+01,1.550093364715576172e+01
2.598762702941894531e+01,1.150399684906005859e+01
-1.192594432830810547e+01,2.460473251342773438e+01
3.140485763549804688e+01,1.644990730285644531e+01
-4.116840839385986328e+00,1.425705528259277344e+01
2.604693222045898438e+01,1.685343933105468750e+01
3.740843200683593750e+01,-3.096354675292968750e+01
3.216604232788085938e+01,1.393494319915771484e+01
4.345697402954101562e+01,-1.132208251953125000e+01
4.180493927001953125e+01,-5.132663249969482422e+00
2.564550971984863281e+01,1.655307388305664062e+01
-5.245334625244140625e+00,-3.435991668701171875e+01
3.673320770263671875e+01,1.708852386474609375e+01
3.639252853393554688e+01,7.990444660186767578e+00
3.445239257812500000e+01,1.322038269042968750e+01
-2.922519111633300781e+01,-2.699954414367675781e+01
3.717691040039062500e+01,3.638872146606445312e+00
3.067938995361328125e+01,1.522666168212890625e+01
2.797091865539550781e+01,1.840000343322753906e+01
3.441936874389648438e+01,1.520373058319091797e+01
4.580812835693359375e+01,2.420477485656738281e+01
1.771452522277832031e+01,-2.298934364318847656e+01
2.354811477661132812e+01,-2.578379631042480469e+00
2.564374923706054688e+00,3.696467208862304688e+01
3.055345344543457031e+01,1.807338333129882812e+01
7.529931068420410156e+00,-2.421364784240722656e+01
3.199945259094238281e+01,1.946806144714355469e+01
-1.496891689300537109e+01,-3.383813476562500000e+01
3.887637329101562500e+01,1.157272338867187500e+01
3.806308746337890625e+01,1.121805953979492188e+01
-3.838664627075195312e+01,3.628167390823364258e+00
4.017102432250976562e+01,2.475886535644531250e+01
3.450453186035156250e+01,1.276353359222412109e+01
4.180084609985351562e+01,-5.162957668304443359e+00
-3.729093170166015625e+01,-2.049849128723144531e+01
-2.594672012329101562e+01,-2.761459159851074219e+01
2.929693603515625000e+01,1.182833385467529297e+01
3.488017272949218750e+01,1.141977500915527344e+01
2.415215682983398438e+01,1.593421459197998047e+01
4.736596584320068359e+00,-3.132751655578613281e+01
3.272545623779296875e+01,1.730886840820312500e+01
3.665498733520507812e+01,1.315390110015869141e+01
9.044929504394531250e+00,-2.615793037414550781e+01
4.889489650726318359e+00,-3.027751731872558594e+01
3.055941772460937500e+01,1.914987945556640625e+01
-2.613676071166992188e+01,1.396674442291259766e+01
1.765240669250488281e+01,-2.408880996704101562e+01
3.056013870239257812e+01,1.126293087005615234e+01
2.633849143981933594e+01,1.432112407684326172e+01
2.898399543762207031e+01,3.106802368164062500e+01
3.832006072998046875e+01,1.160291767120361328e+01
3.186945915222167969e+01,1.544261074066162109e+01
3.756259155273437500e+01,-3.926558971405029297e+00
3.941921615600585938e+01,8.706335067749023438e+00
3.643846511840820312e+01,1.079645824432373047e+01
-1.889018249511718750e+01,-1.943548560142517090e+00
2.706567001342773438e+01,2.342420578002929688e+01
3.502375030517578125e+01,1.109356641769409180e+00
2.287594985961914062e+01,2.208567047119140625e+01
3.072081756591796875e+01,1.532186889648437500e+01
-1.714237928390502930e+00,3.449792480468750000e+01
4.025003814697265625e+01,2.138529777526855469e+00
2.652380371093750000e+01,1.409461307525634766e+01
1.616097640991210938e+01,-2.504350471496582031e+01
-9.916648864746093750e+00,-2.288793563842773438e+01
4.493562698364257812e+01,2.482972526550292969e+01
2.984697151184082031e+01,1.953005409240722656e+01
2.870916175842285156e+01,1.502183914184570312e+01
-3.541951370239257812e+01,-1.950284957885742188e+01
-3.174864196777343750e+01,-2.584070396423339844e+01
3.192438507080078125e+01,1.810854721069335938e+01
3.196135520935058594e+01,1.434935951232910156e+01
3.087349891662597656e+01,7.467964649200439453e+00
2.261467361450195312e+01,1.685756683349609375e+01
-2.843549537658691406e+01,-2.350617218017578125e+01
4.197277069091796875e+01,2.782786750793457031e+01
3.055424499511718750e+01,1.702083778381347656e+01
1.423925685882568359e+01,-2.058239555358886719e+01
1.079574871063232422e+01,1.541674900054931641e+01
3.158082199096679688e+01,1.771350860595703125e+01
2.378083229064941406e+01,2.357162094116210938e+01
-3.586909103393554688e+01,-5.085415840148925781e+00
4.108333206176757812e+01,1.819359397888183594e+01
3.534913253784179688e+01,1.175022697448730469e+01
-2.782572555541992188e+01,-2.553744697570800781e+01
7.792579174041748047e+00,-2.506451034545898438e+01
3.467669677734375000e+01,3.483603286743164062e+01
3.294256973266601562e+01,1.329463958740234375e+01
3.136422920227050781e+01,1.279624080657958984e+01
7.233179092407226562e+00,-2.549000167846679688e+01
2.636805915832519531e+01,1.638527679443359375e+01
-1.563253402709960938e+00,3.447842788696289062e+01
4.681850814819335938e+01,1.655436134338378906e+01
5.572680664062500000e+01,1.459487318992614746e+00
4.024990081787109375e+01,2.336611557006835938e+01
2.895343780517578125e+01,1.844414329528808594e+01
2.356675529479980469e+01,1.839566993713378906e+01
3.289663696289062500e+01,1.411012554168701172e+01
2.565063095092773438e+01,1.876347351074218750e+01
2.704079246520996094e+01,-1.435085964202880859e+01
2.999136924743652344e+01,3.225408554077148438e+01
5.568080520629882812e+01,1.482484459877014160e+00
3.604866409301757812e+01,7.089535713195800781e+00
2.561507415771484375e+01,1.777244758605957031e+01
3.389950180053710938e+01,1.400087547302246094e+01
3.674815368652343750e+01,3.092437744140625000e+01
6.874069690704345703e+00,-2.772469902038574219e+01
3.458813095092773438e+01,1.483030033111572266e+01
3.116755104064941406e+01,1.717964172363281250e+01
3.085806083679199219e+01,-2.616112947463989258e+00
2.480772590637207031e+01,1.110130405426025391e+01
2.659382820129394531e+01,1.821580696105957031e+01
2.417392539978027344e+01,1.873538017272949219e+01
3.087787055969238281e+01,-2.626129388809204102e+00
3.698331069946289062e+01,1.707964706420898438e+01
-2.555489540100097656e+01,1.907583951950073242e+00
3.733539199829101562e+01,-3.098717689514160156e+01
2.854770088195800781e+01,1.618887710571289062e+01
3.181856155395507812e+01,1.528041172027587891e+01
